course,label,url
CCNA1_v2,CCNA 1 - Pretest,https://itexamanswers.net/ccna-1-pretest-v5-1-v6-0-exam-answers-100-full.html
CCNA1_v2,CCNA 1 - Chapter 1,https://itexamanswers.net/ccna-1-v5-1-v6-0-chapter-1-exam-answers-100-full.html
CCNA1_v2,CCNA 1 - Chapter 2,https://itexamanswers.net/ccna-1-v5-1-v6-0-chapter-2-exam-answers-100-full.html
CCNA1_v2,CCNA 1 - Chapter 3,https://itexamanswers.net/ccna-1-v5-1-v6-0-chapter-3-exam-answers-100-full.html
CCNA1_v2,CCNA 1 - Chapter 4,https://itexamanswers.net/ccna-1-v5-1-v6-0-chapter-4-exam-answers-100-full.html
CCNA1_v2,CCNA 1 - Chapter 5,https://itexamanswers.net/ccna-1-v5-1-v6-0-chapter-5-exam-answers-100-full.html
CCNA1_v2,CCNA 1 - Chapter 6,https://itexamanswers.net/ccna-1-v5-1-v6-0-chapter-6-exam-answers-100-full.html
CCNA1_v2,CCNA 1 - Chapter 6 Skills PT,https://itexamanswers.net/ccna-1-v5-1-chapter-6-pt-practice-skills-assessment-packet-tracer.html
CCNA1_v2,CCNA 1 - Chapter 7,https://itexamanswers.net/ccna-1-v5-1-v6-0-chapter-7-exam-answers-100-full.html
CCNA1_v2,CCNA 1 - Chapter 8,https://itexamanswers.net/ccna-1-v5-1-v6-0-chapter-8-exam-answers-100-full.html
CCNA1_v2,CCNA 1 - Chapter 9,https://itexamanswers.net/ccna-1-v5-1-v6-0-chapter-9-exam-answers-100-full.html
CCNA1_v2,CCNA 1 - Chapter 10,https://itexamanswers.net/ccna-1-v5-1-v6-0-chapter-10-exam-answers-100-full.html
CCNA1_v2,CCNA 1 - Chapter 11,https://itexamanswers.net/ccna-1-v5-1-v6-0-chapter-11-exam-answers-100-full.html
CCNA1_v2,CCNA 1 PT Practice Skills,https://itexamanswers.net/ccna-1-v6-0-itn-practice-skills-assessment-packet-tracer-exam-answers.html
CCNA1_v2,CCNA 1 - Practice Final,https://itexamanswers.net/ccna-1-v5-1-v6-0-practice-final-exam-answers-100-full.html
CCNA1_v2,CCNA 1 - Final Exam,https://itexamanswers.net/ccna-1-final-exam-answers-v5-1-v6-0-introduction-to-networks.html
CCNA2_v2,CCNA 2 - Pretest,https://itexamanswers.net/ccna-2-pretest-exam-answers-v5-03-v5-1-v6-0-full-100.html
CCNA2_v2,CCNA 2 - Chapter 1,https://itexamanswers.net/ccna-2-v5-0-3-v6-0-chapter-1-exam-answers-100-full.html
CCNA2_v2,CCNA 2 - Chapter 2,https://itexamanswers.net/ccna-2-v5-0-3-v6-0-chapter-2-exam-answers-100-full.html
CCNA2_v2,Chapter 2 SIC Practice Skills,https://itexamanswers.net/ccna-2-rse-chapter-2-sic-practice-skills-assessment-packet-tracer-answers.html
CCNA2_v2,CCNA 2 - Chapter 3,https://itexamanswers.net/ccna-2-v5-0-3-v6-0-chapter-3-exam-answers-100-full.html
CCNA2_v2,CCNA 2 - Chapter 4,https://itexamanswers.net/ccna-2-v5-0-3-v6-0-chapter-4-exam-answers-100-full.html
CCNA2_v2,CCNA 2 - Chapter 5,https://itexamanswers.net/ccna-2-v5-0-3-v6-0-chapter-5-exam-answers-100-full.html
CCNA2_v2,CCNA 2 - Chapter 6,https://itexamanswers.net/ccna-2-v5-0-3-v6-0-chapter-6-exam-answers-100-full.html
CCNA2_v2,CCNA 2 - Chapter 7,https://itexamanswers.net/ccna-2-v5-0-3-v6-0-chapter-7-exam-answers-100-full.html
CCNA2_v2,Chapter 7 SIC Practice Skills,https://itexamanswers.net/chapter-7-rse-practice-skills-assessment-exam-answers.html
CCNA2_v2,CCNA 2 - Chapter 8,https://itexamanswers.net/ccna-2-v5-0-3-v6-0-chapter-8-exam-answers-100-full.html
CCNA2_v2,CCNA 2 - Chapter 9,https://itexamanswers.net/ccna-2-v5-0-3-v6-0-chapter-9-exam-answers-100-full.html
CCNA2_v2,CCNA 2 - Chapter 10,https://itexamanswers.net/ccna-2-v5-0-3-v6-0-chapter-10-exam-answers-100-full.html
CCNA2_v2,ITN Practice Skills CCNA 1,https://itexamanswers.net/ccna-1-v6-0-itn-practice-skills-assessment-packet-tracer-exam-answers.html
CCNA2_v2,RSE Practice Skills Part 1,https://itexamanswers.net/ccna-routing-switching-essentials-practice-skills-assessment-part-1.html
CCNA2_v2,RSE Practice Skills Part 2,https://itexamanswers.net/ccna-routing-switching-essentials-practice-skills-assessment-part-ii.html
CCNA2_v2,CCNA 2 - Practice Final,https://itexamanswers.net/ccna-2-v5-0-3-v6-0-practice-final-exam-answers-100-full.html
CCNA2_v2,CCENT ICND1 Practice Exam,https://itexamanswers.net/ccna-2-v6-0-ccent-icnd1-practice-certification-exam-answers.html
CCNA2_v2,CCNA 2 - Final Exam,https://itexamanswers.net/ccna-2-v6-0-final-exam-answers-routing-switching-essentials.html
